"Observed" "Shannon" "PD" "Status"
1046 3.70502924356451 41.513225656 "root metagenome"
1447 4.14984710186837 50.688023649 "root metagenome"
1388 4.29100216944796 50.414046061 "root metagenome"
1540 4.16892083073704 47.297030195 "root metagenome"
1762 4.1224613237822 56.657076752 "root metagenome"
1705 4.13644797047154 56.572499843 "root metagenome"
1462 4.33656207398721 49.385266975 "root metagenome"
882 3.52585817033312 35.45611819 "root metagenome"
1297 4.2074571147506 48.940262778 "root metagenome"
1227 3.7723211213957 40.592226134 "root metagenome"
1471 4.14688663817798 50.1318080999999 "root metagenome"
1346 3.91484201537401 44.233835894 "root metagenome"
1137 3.83078342701947 41.157847094 "root metagenome"
1646 4.15613641244268 52.440109303 "root metagenome"
1206 2.81463263492762 48.530291691 "root metagenome"
1436 4.57699895135895 52.561522475 "root metagenome"
1113 2.62129393708754 44.6394238579999 "root metagenome"
1390 3.48914911082216 49.888322931 "root metagenome"
1132 3.29608802422953 44.655497551 "root metagenome"
1125 2.82721185270297 44.171989614 "root metagenome"
1259 3.27387829969067 48.975207383 "root metagenome"
1354 3.26288241596966 49.766391779 "root metagenome"
1225 2.33828724825656 48.67992587 "root metagenome"
1267 3.03196487261606 48.017115068 "root metagenome"
1884 6.63360355547245 66.563327285 "soil metagenome"
957 2.42713607243358 37.091485843 "root metagenome"
1237 4.0025917485452 45.1367995469999 "root metagenome"
1118 3.81821172716773 42.286246798 "root metagenome"
1394 4.28977116609389 50.198626067 "root metagenome"
1199 3.92650690901989 40.867386276 "root metagenome"
1549 4.20066369239657 49.4064541 "root metagenome"
1349 3.95491643844593 46.865047719 "root metagenome"
1547 4.75211455066089 51.425088213 "root metagenome"
1464 4.35944393885226 47.9287523429999 "root metagenome"
1493 4.53934542181295 49.151026037 "root metagenome"
2036 6.60577949686381 71.953505633 "soil metagenome"
1600 4.66589580155967 50.621420437 "root metagenome"
1823 4.29225551088888 57.907500801 "root metagenome"
1864 4.33436354214516 58.964349517 "root metagenome"
1083 3.69869969489653 42.299430905 "root metagenome"
1605 4.14964739913937 53.473744578 "root metagenome"
1534 4.14501505521639 51.169253447 "root metagenome"
1204 3.7270824289589 46.141085872 "root metagenome"
1402 4.07741695616235 48.394900136 "root metagenome"
2231 6.87101248051958 74.837615014 "soil metagenome"
1710 3.5773059775959 58.516939211 "root metagenome"
