sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613570	199251	184710	92.7	182527	178625	89.65	175731	88.2
ERR4613571	289519	269173	92.97	266082	260124	89.85	254431	87.88
ERR4613572	233673	216699	92.74	213947	208787	89.35	205137	87.79
ERR4613573	234953	217965	92.77	214564	209057	88.98	205193	87.33
ERR4613574	252327	234596	92.97	230752	223973	88.76	218054	86.42
ERR4613575	357999	328690	91.81	324293	313253	87.5	299547	83.67
ERR4613576	411361	382483	92.98	377297	365567	88.87	350829	85.28
ERR4613577	191075	177432	92.86	174859	170384	89.17	167061	87.43
ERR4613578	209372	195944	93.59	178248	158302	75.61	155325	74.19
ERR4613579	199738	186649	93.45	169726	151601	75.9	149708	74.95
ERR4613580	219085	204493	93.34	185636	165201	75.4	162603	74.22
ERR4613581	215780	201234	93.26	184384	165146	76.53	162646	75.38
ERR4613582	195630	182866	93.48	165967	146655	74.97	144667	73.95
ERR4613583	197398	183900	93.16	168696	150200	76.09	148285	75.12
ERR4613584	210054	195404	93.03	180240	161635	76.95	159065	75.73
ERR4613585	210759	196950	93.45	180941	161561	76.66	159482	75.67
ERR4613586	214484	200127	93.31	184874	166427	77.59	164632	76.76
ERR4613587	192148	179062	93.19	173891	165781	86.28	161612	84.11
ERR4613588	149914	139553	93.09	136302	130037	86.74	126444	84.34
ERR4613589	172062	160393	93.22	156492	149691	87	145133	84.35
ERR4613590	167032	155213	92.92	151408	144591	86.56	141298	84.59
ERR4613591	168646	157004	93.1	152714	145496	86.27	142146	84.29
ERR4613592	260180	242400	93.17	237493	228253	87.73	224435	86.26
ERR4613593	244350	227676	93.18	223293	215638	88.25	211714	86.64
ERR4613594	273792	255394	93.28	249437	238153	86.98	235063	85.85
ERR4613595	216460	202334	93.47	188755	174357	80.55	173258	80.04
ERR4613596	277033	258057	93.15	251644	239770	86.55	235849	85.13
ERR4613597	274714	255896	93.15	249561	239049	87.02	234681	85.43
ERR4613598	232858	215739	92.65	210351	200925	86.29	197974	85.02
ERR4613599	248991	230438	92.55	224647	213793	85.86	210342	84.48
ERR4613600	283807	263928	93	257378	244963	86.31	241139	84.97
ERR4613601	245145	228059	93.03	222196	213045	86.91	210519	85.88
ERR4613602	360962	337573	93.52	330675	317858	88.06	312337	86.53
ERR4613603	266242	248734	93.42	242638	230341	86.52	222620	83.62
ERR4613604	284407	265102	93.21	260406	251216	88.33	248096	87.23
ERR4613605	255040	238233	93.41	231550	220556	86.48	214848	84.24
ERR4613606	252181	235498	93.38	228028	216380	85.8	211724	83.96
ERR4613607	274750	257188	93.61	250839	240616	87.58	234276	85.27
ERR4613608	288003	270608	93.96	263531	251373	87.28	241816	83.96
ERR4613609	247153	232489	94.07	226382	216640	87.65	211100	85.41
ERR4613610	302785	284288	93.89	277007	264216	87.26	254771	84.14
ERR4613611	262203	244325	93.18	239359	230011	87.72	223266	85.15
ERR4613612	248375	231623	93.26	227259	219786	88.49	214357	86.3
ERR4613613	244534	228658	93.51	223083	213479	87.3	205779	84.15
ERR4613614	254308	237874	93.54	232117	222966	87.68	215359	84.68
ERR4613615	284218	265762	93.51	258903	247865	87.21	239515	84.27
ERR4613616	214805	200194	93.2	183929	165463	77.03	164320	76.5
ERR4613617	174180	161575	92.76	147779	130786	75.09	129809	74.53
ERR4613618	213381	198565	93.06	182853	164161	76.93	162231	76.03
ERR4613619	213348	198893	93.22	183839	166438	78.01	164860	77.27
ERR4613620	221850	205754	92.74	191345	173093	78.02	171403	77.26
ERR4613621	213553	199339	93.34	184870	168042	78.69	166578	78
ERR4613622	223770	208800	93.31	194035	176547	78.9	175005	78.21
ERR4613623	218921	203532	92.97	189125	170488	77.88	169286	77.33
ERR4613624	186488	173260	92.91	159556	142967	76.66	141993	76.14
ERR4613625	222047	206240	92.88	191537	173160	77.98	171999	77.46
ERR4613626	216164	202235	93.56	187995	172820	79.95	171563	79.37
ERR4613627	298161	276835	92.85	273214	265941	89.19	261265	87.63
ERR4613628	217360	202666	93.24	199582	193742	89.13	190554	87.67
ERR4613629	215552	200762	93.14	197963	191357	88.78	188059	87.25
ERR4613630	206635	192727	93.27	189983	183569	88.84	180125	87.17
ERR4613631	238988	221438	92.66	218511	211358	88.44	205828	86.12
ERR4613632	224853	208289	92.63	205121	198094	88.1	193224	85.93
ERR4613633	160948	149227	92.72	146614	141585	87.97	138550	86.08
ERR4613634	232780	216240	92.89	213668	207262	89.04	203043	87.23
ERR4613635	157512	145159	92.16	142949	137485	87.29	134735	85.54
ERR4613636	239752	222112	92.64	218333	209351	87.32	204093	85.13
ERR4613637	420374	388238	92.36	385227	373575	88.87	361640	86.03
ERR4613638	197424	182161	92.27	179834	173621	87.94	169974	86.1
ERR4613639	227490	209826	92.24	205909	197493	86.81	193210	84.93
ERR4613640	196715	181476	92.25	177106	169863	86.35	166371	84.57
ERR4613641	214683	198259	92.35	193944	186230	86.75	183493	85.47
ERR4613642	256825	236634	92.14	232965	224478	87.41	221031	86.06
ERR4613643	248826	229713	92.32	225327	216868	87.16	213708	85.89
ERR4613644	231163	212816	92.06	209077	201269	87.07	197885	85.6
ERR4613645	249401	231082	92.65	229054	224208	89.9	220441	88.39
ERR4613646	258222	238172	92.24	235454	230372	89.21	226713	87.8
ERR4613647	268835	249131	92.67	246574	241153	89.7	236605	88.01
ERR4613648	264161	245176	92.81	241155	234613	88.81	229766	86.98
ERR4613649	267548	246625	92.18	243489	237498	88.77	233135	87.14
ERR4613650	335271	311517	92.91	307417	299550	89.35	292690	87.3
ERR4613651	254295	236046	92.82	233049	228068	89.69	223790	88
ERR4613652	243296	225747	92.79	222505	216704	89.07	212871	87.49
ERR4613653	259979	240451	92.49	237073	231091	88.89	228045	87.72
ERR4613654	177613	164290	92.5	161707	157838	88.87	155726	87.68
ERR4613655	228239	211868	92.83	199374	182462	79.94	180481	79.08
ERR4613656	230825	215657	93.43	202670	184960	80.13	182282	78.97
ERR4613657	210127	195051	92.83	184380	169323	80.58	167123	79.53
ERR4613658	199893	186481	93.29	175239	159385	79.74	157522	78.8
